動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
名詞,一般,*,*,*,*,万事,バンジ,バンジ	全て
動詞,自立,*,*,五段・ラ行,基本形,いじる,イジル,イジル	触る
名詞,サ変接続,*,*,*,*,口答え,クチゴタエ,クチゴタエ	反対
動詞,自立,*,*,五段・ラ行,連用タ接続,めいる,メイッ,メイッ	つかれ
名詞,一般,*,*,*,*,キー,キー,キー	鍵
動詞,自立,*,*,一段,連用形,改める,アラタメ,アラタメ	変え
形容詞,自立,*,*,形容詞・アウオ段,基本形,分厚い,ブアツイ,ブアツイ	重い
動詞,自立,*,*,一段,基本形,通じる,ツウジル,ツージル	つながる
名詞,サ変接続,*,*,*,*,同感,ドウカン,ドーカン	賛成
名詞,一般,*,*,*,*,世,ヨ,ヨ	世界
名詞,一般,*,*,*,*,内々,ウチウチ,ウチウチ	秘密
動詞,自立,*,*,一段,連用形,荒れる,アレ,アレ	あれ
動詞,自立,*,*,五段・ラ行,連用タ接続,駆け寄る,カケヨッ,カケヨッ	かけよっ
名詞,サ変接続,*,*,*,*,自制,ジセイ,ジセイ	我慢
動詞,自立,*,*,五段・ラ行,未然ウ接続,しかる,シカロ,シカロ	怒ろ
動詞,自立,*,*,五段・ラ行,基本形,しかる,シカル,シカル	怒る
名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ	出身
副詞,一般,*,*,*,*,だいぶん,ダイブン,ダイブン	とても
動詞,自立,*,*,五段・ラ行,連用タ接続,がんばる,ガンバッ,ガンバッ	頑張っ
動詞,自立,*,*,五段・カ行イ音便,未然形,たたく,タタカ,タタカ	叩か
形容詞,自立,*,*,形容詞・アウオ段,基本形,わるい,ワルイ,ワルイ	悪い
名詞,代名詞,一般,*,*,*,どなた,ドナタ,ドナタ	誰
副詞,一般,*,*,*,*,仮に,カリニ,カリニ	もし
名詞,サ変接続,*,*,*,*,休養,キュウヨウ,キューヨー	休み
動詞,自立,*,*,一段,連用形,間違える,マチガエ,マチガエ	間違っ
名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ	家族
名詞,一般,*,*,*,*,ブリッジ,ブリッジ,ブリッジ	橋
副詞,一般,*,*,*,*,又,マタ,マタ	また
動詞,自立,*,*,五段・サ行,連用形,さがす,サガシ,サガシ	探し
動詞,自立,*,*,一段,連用形,行ける,イケ,イケ	なり
名詞,一般,*,*,*,*,ホイール,ホイール,ホイール	タイヤ
動詞,自立,*,*,五段・ラ行,連用タ接続,塗る,ヌッ,ヌッ	し
名詞,一般,*,*,*,*,三つ,ミッツ,ミッツ	３つ
動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ	働い
名詞,一般,*,*,*,*,炎症,エンショウ,エンショー	異常
名詞,サ変接続,*,*,*,*,暗示,アンジ,アンジ	意味
形容詞,自立,*,*,形容詞・イ段,ガル接続,やかましい,ヤカマシ,ヤカマシ	うるさ
動詞,自立,*,*,五段・ワ行促音便,基本形,救う,スクウ,スクウ	助ける
名詞,接尾,一般,*,*,*,向け,ムケ,ムケ	用
副詞,一般,*,*,*,*,さすが,サスガ,サスガ	やっぱり
動詞,自立,*,*,五段・サ行,未然形,成す,ナサ,ナサ	持た
動詞,自立,*,*,五段・タ行,連用タ接続,発つ,タッ,タッ	行っ
名詞,形容動詞語幹,*,*,*,*,単調,タンチョウ,タンチョー	簡単
名詞,サ変接続,*,*,*,*,注文,チュウモン,チューモン	お願い
名詞,一般,*,*,*,*,立つ瀬,タツセ,タツセ	立場
動詞,自立,*,*,一段,未然形,埋め合わせる,ウメアワセ,ウメアワセ	補わ
副詞,一般,*,*,*,*,大して,タイシテ,タイシテ	あまり
動詞,自立,*,*,一段,未然形,終える,オエ,オエ	果たさ
名詞,一般,*,*,*,*,入試,ニュウシ,ニューシ	試験
副詞,一般,*,*,*,*,ばったり,バッタリ,バッタリ	突然
形容詞,自立,*,*,形容詞・イ段,連用テ接続,うれしい,ウレシク,ウレシク	嬉しく
名詞,サ変接続,*,*,*,*,パーティ,パーティ,パーティ	会
名詞,一般,*,*,*,*,カロリー,カロリー,カロリー	エネルギー
名詞,副詞可能,*,*,*,*,正午,ショウゴ,ショーゴ	昼
名詞,一般,*,*,*,*,真ん中,マンナカ,マンナカ	中心
形容詞,自立,*,*,形容詞・イ段,連用タ接続,おいしい,オイシカッ,オイシカッ	美味しかっ
動詞,自立,*,*,五段・サ行,連用形,なくす,ナクシ,ナクシ	失っ
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,うまい,ウマ,ウマ	美味し
名詞,一般,*,*,*,*,拳銃,ケンジュウ,ケンジュー	銃
動詞,自立,*,*,一段,基本形,間違える,マチガエル,マチガエル	間違う
名詞,サ変接続,*,*,*,*,繁盛,ハンジョウ,ハンジョー	活動
動詞,自立,*,*,五段・ラ行,基本形,眠る,ネムル,ネムル	寝る
副詞,一般,*,*,*,*,ほとほと,ホトホト,ホトホト	全く
形容詞,自立,*,*,形容詞・イ段,基本形,たくましい,タクマシイ,タクマシイ	強い
動詞,自立,*,*,五段・ラ行,基本形,来る,キタル,キタル	行く
副詞,一般,*,*,*,*,ぶらぶら,ブラブラ,ブラブラ	ゆっくり
名詞,一般,*,*,*,*,活気,カッキ,カッキ	元気
動詞,自立,*,*,五段・サ行,基本形,愛す,アイス,アイス	愛する
動詞,自立,*,*,五段・サ行,連用形,下ろす,オロシ,オロシ	おい
接頭詞,数接続,*,*,*,*,およそ,オヨソ,オヨソ	約
名詞,一般,*,*,*,*,ツアー,ツアー,ツアー	旅行
動詞,自立,*,*,五段・サ行,基本形,逃げ出す,ニゲダス,ニゲダス	逃げる
動詞,自立,*,*,五段・ラ行,連用タ接続,取りかかる,トリカカッ,トリカカッ	始め
名詞,一般,*,*,*,*,胃,イ,イ	腹
動詞,自立,*,*,一段,連用形,ながめる,ナガメ,ナガメ	見
形容詞,自立,*,*,形容詞・アウオ段,基本形,つらい,ツライ,ツライ	厳しい
名詞,一般,*,*,*,*,年頃,トシゴロ,トシゴロ	年
動詞,自立,*,*,一段,未然形,建てる,タテ,タテ	立て
名詞,一般,*,*,*,*,時刻,ジコク,ジコク	時間
名詞,サ変接続,*,*,*,*,感嘆,カンタン,カンタン	感動
名詞,一般,*,*,*,*,パワー,パワー,パワー	力
名詞,一般,*,*,*,*,賜物,タマモノ,タマモノ	結果
名詞,サ変接続,*,*,*,*,合意,ゴウイ,ゴーイ	賛成
名詞,形容動詞語幹,*,*,*,*,簡潔,カンケツ,カンケツ	簡単
名詞,一般,*,*,*,*,けが,ケガ,ケガ	怪我
動詞,自立,*,*,五段・カ行イ音便,連用形,省く,ハブキ,ハブキ	除き
名詞,サ変接続,*,*,*,*,改造,カイゾウ,カイゾー	変更
動詞,自立,*,*,一段,基本形,会える,アエル,アエル	会う
動詞,自立,*,*,五段・サ行,基本形,越す,コス,コス	超える
名詞,サ変接続,*,*,*,*,がまん,ガマン,ガマン	我慢
副詞,一般,*,*,*,*,めっきり,メッキリ,メッキリ	もう
名詞,一般,*,*,*,*,ダブル,ダブル,ダブル	２つ
名詞,一般,*,*,*,*,舟,フネ,フネ	船
動詞,自立,*,*,五段・サ行,連用形,さしだす,サシダシ,サシダシ	出し
名詞,一般,*,*,*,*,景気,ケイキ,ケイキ	調子
名詞,一般,*,*,*,*,ぼうし,ボウシ,ボウシ	帽子
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,向かい合う,ムカイアッ,ムカイアッ	向かっ
動詞,自立,*,*,五段・サ行,連用形,見回す,ミマワシ,ミマワシ	見
名詞,一般,*,*,*,*,くだもの,クダモノ,クダモノ	果物
動詞,非自立,*,*,五段・サ行,連用形,直す,ナオシ,ナオシ	なおし
名詞,一般,*,*,*,*,ゆり,ユリ,ユリ	花
動詞,自立,*,*,五段・ラ行,基本形,おっしゃる,オッシャル,オッシャル	言う
名詞,サ変接続,*,*,*,*,両替,リョウガエ,リョーガエ	交換
形容詞,自立,*,*,形容詞・アウオ段,基本形,ぬるい,ヌルイ,ヌルイ	あたたかい
名詞,一般,*,*,*,*,とけい,トケイ,トケイ	時計
動詞,自立,*,*,五段・ラ行,連用タ接続,しかる,シカッ,シカッ	怒っ
動詞,自立,*,*,五段・マ行,未然形,悩む,ナヤマ,ナヤマ	困ら
名詞,一般,*,*,*,*,用紙,ヨウシ,ヨーシ	紙
名詞,一般,*,*,*,*,行事,ギョウジ,ギョージ	活動
名詞,一般,*,*,*,*,山脈,サンミャク,サンミャク	山
動詞,自立,*,*,一段,連用形,秘める,ヒメ,ヒメ	隠し
動詞,自立,*,*,五段・サ行,連用形,いたす,イタシ,イタシ	し
副詞,一般,*,*,*,*,二度と,ニドト,ニドト	もう
動詞,自立,*,*,五段・ラ行,連用タ接続,取り去る,トリサッ,トリサッ	捨て
名詞,一般,*,*,*,*,費用,ヒヨウ,ヒヨー	お金
名詞,サ変接続,*,*,*,*,塩梅,アンバイ,アンバイ	具合
副詞,助詞類接続,*,*,*,*,チョット,チョット,チョット	少し
名詞,一般,*,*,*,*,匂い,ニオイ,ニオイ	におい
名詞,一般,*,*,*,*,ボート,ボート,ボート	船
副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ	ちょうど
感動詞,*,*,*,*,*,やれやれ,ヤレヤレ,ヤレヤレ	ああ
名詞,形容動詞語幹,*,*,*,*,清潔,セイケツ,セイケツ	きれい
名詞,一般,*,*,*,*,底,ソコ,ソコ	そこ
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,利く,キイ,キイ	きい
名詞,一般,*,*,*,*,言質,ゲンチ,ゲンチ	質問
形容詞,自立,*,*,形容詞・イ段,基本形,騒がしい,サワガシイ,サワガシイ	うるさい
形容詞,自立,*,*,形容詞・イ段,ガル接続,むずかしい,ムズカシ,ムズカシ	難し
動詞,自立,*,*,五段・ラ行,連用タ接続,載る,ノッ,ノッ	乗っ
名詞,一般,*,*,*,*,虜,トリコ,トリコ	ファン
副詞,一般,*,*,*,*,はたして,ハタシテ,ハタシテ	本当に
名詞,形容動詞語幹,*,*,*,*,率直,ソッチョク,ソッチョク	正直
名詞,一般,*,*,*,*,風景,フウケイ,フーケイ	景色
副詞,助詞類接続,*,*,*,*,そろそろ,ソロソロ,ソロソロ	もうすぐ
形容詞,自立,*,*,形容詞・イ段,ガル接続,やさしい,ヤサシ,ヤサシ	優し
動詞,自立,*,*,一段,連用形,たれる,タレ,タレ	かかっ
動詞,自立,*,*,一段,未然ウ接続,辞める,ヤメヨ,ヤメヨ	やめよ
動詞,自立,*,*,五段・ラ行,未然形,閉まる,シマラ,シマラ	閉じ
動詞,自立,*,*,五段・ワ行促音便,連用形,はらう,ハライ,ハライ	払い
動詞,自立,*,*,五段・サ行,連用形,流す,ナガシ,ナガシ	出し
動詞,自立,*,*,一段,連用形,漏れる,モレ,モレ	出
動詞,自立,*,*,五段・ラ行,連用形,はかどる,ハカドリ,ハカドリ	進み
動詞,自立,*,*,一段,基本形,告げる,ツゲル,ツゲル	伝える
名詞,一般,*,*,*,*,屈辱,クツジョク,クツジョク	批判
副詞,一般,*,*,*,*,どんなに,ドンナニ,ドンナニ	どれほど
動詞,自立,*,*,五段・ラ行,未然ウ接続,閉まる,シマロ,シマロ	閉じよ
名詞,サ変接続,*,*,*,*,出張,シュッチョウ,シュッチョー	仕事
動詞,自立,*,*,五段・ラ行,未然形,しかる,シカラ,シカラ	怒ら
接続詞,*,*,*,*,*,たとえば,タトエバ,タトエバ	例えば
名詞,一般,*,*,*,*,ハガキ,ハガキ,ハガキ	手紙
名詞,一般,*,*,*,*,香り,カオリ,カオリ	におい
動詞,自立,*,*,一段,連用形,取れる,トレ,トレ	とっ
動詞,自立,*,*,五段・タ行,未然形,役立つ,ヤクダタ,ヤクダタ	役に立た
名詞,サ変接続,*,*,*,*,おねがい,オネガイ,オネガイ	お願い
動詞,自立,*,*,五段・ラ行,基本形,去る,サル,サル	出る
副詞,一般,*,*,*,*,いくぶん,イクブン,イクブン	とても
名詞,形容動詞語幹,*,*,*,*,気の毒,キノドク,キノドク	残念
名詞,一般,*,*,*,*,ビル,ビル,ビル	建物
名詞,一般,*,*,*,*,戦い,タタカイ,タタカイ	競争
動詞,自立,*,*,五段・ガ行,基本形,引き継ぐ,ヒキツグ,ヒキツグ	続ける
動詞,自立,*,*,一段,未然形,居合わせる,イアワセ,イアワセ	居
形容詞,自立,*,*,形容詞・アウオ段,基本形,蒸し暑い,ムシアツイ,ムシアツイ	暑い
動詞,自立,*,*,一段,未然形,あきらめる,アキラメ,アキラメ	やめ
形容詞,自立,*,*,形容詞・イ段,ガル接続,うれしい,ウレシ,ウレシ	嬉し
動詞,自立,*,*,一段,連用形,やれる,ヤレ,ヤレ	でき
動詞,自立,*,*,一段,連用形,着替える,キガエ,キガエ	変え
動詞,自立,*,*,一段,連用形,わける,ワケ,ワケ	分け
名詞,一般,*,*,*,*,オフレコ,オフレコ,オフレコ	秘密
名詞,一般,*,*,*,*,荷作り,ニヅクリ,ニズクリ	準備
連体詞,*,*,*,*,*,あんな,アンナ,アンナ	そんな
動詞,自立,*,*,五段・サ行,連用形,飛ばす,トバシ,トバシ	し
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,嫌う,キラッ,キラッ	嫌がっ
名詞,一般,*,*,*,*,ケガ,ケガ,ケガ	怪我
名詞,一般,*,*,*,*,おのおの,オノオノ,オノオノ	それぞれ
名詞,一般,*,*,*,*,外観,ガイカン,ガイカン	見た目
名詞,サ変接続,*,*,*,*,公演,コウエン,コーエン	発表
名詞,一般,*,*,*,*,愛情,アイジョウ,アイジョー	愛
副詞,一般,*,*,*,*,ちらっと,チラット,チラット	少し
動詞,非自立,*,*,一段,連用形,はじめる,ハジメ,ハジメ	始め
動詞,自立,*,*,五段・ラ行,連用タ接続,ふる,フッ,フッ	降っ
動詞,自立,*,*,五段・ワ行促音便,連用形,つき合う,ツキアイ,ツキアイ	話し
動詞,自立,*,*,一段,未然形,おきる,オキ,オキ	起き
名詞,一般,*,*,*,*,雨あし,アマアシ,アマアシ	雨
副詞,一般,*,*,*,*,恐らく,オソラク,オソラク	おそらく
名詞,一般,*,*,*,*,風習,フウシュウ,フーシュー	習慣
名詞,一般,*,*,*,*,降り,フリ,フリ	雨
名詞,一般,*,*,*,*,イベント,イベント,イベント	企画
名詞,サ変接続,*,*,*,*,おまけ,オマケ,オマケ	それ
名詞,一般,*,*,*,*,定刻,テイコク,テイコク	通常
名詞,副詞可能,*,*,*,*,近ごろ,チカゴロ,チカゴロ	最近
名詞,一般,*,*,*,*,付き合い,ツキアイ,ツキアイ	関係
名詞,サ変接続,*,*,*,*,討議,トウギ,トーギ	会議
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,取り合う,トリアッ,トリアッ	取っ
動詞,自立,*,*,一段,連用形,付ける,ツケ,ツケ	つけ
名詞,一般,*,*,*,*,答,コタエ,コタエ	答え
副詞,一般,*,*,*,*,けっして,ケッシテ,ケッシテ	決して
副詞,一般,*,*,*,*,一目,ヒトメ,ヒトメ	ちょっと
動詞,自立,*,*,一段,連用形,おきる,オキ,オキ	起き
名詞,一般,*,*,*,*,景観,ケイカン,ケイカン	景色
名詞,サ変接続,*,*,*,*,用心,ヨウジン,ヨージン	注意
動詞,自立,*,*,一段,連用形,思える,オモエ,オモエ	思っ
動詞,自立,*,*,五段・サ行,未然ウ接続,つぶす,ツブソ,ツブソ	使お
名詞,一般,*,*,*,*,女房,ニョウボウ,ニョーボー	妻
動詞,自立,*,*,五段・サ行,基本形,引き起こす,ヒキオコス,ヒキオコス	起こす
動詞,自立,*,*,サ変・−スル,基本形,屈する,クッスル,クッスル	負ける
名詞,一般,*,*,*,*,お辞儀,オジギ,オジギ	挨拶
動詞,自立,*,*,五段・サ行,基本形,そらす,ソラス,ソラス	変える
名詞,一般,*,*,*,*,くつ,クツ,クツ	靴
副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ	いろいろ
名詞,一般,*,*,*,*,銅貨,ドウカ,ドーカ	コイン
名詞,サ変接続,*,*,*,*,オーバー,オーバー,オーバー	コート
名詞,一般,*,*,*,*,手仕事,テシゴト,テシゴト	手作業
形容詞,自立,*,*,形容詞・イ段,ガル接続,おいしい,オイシ,オイシ	美味し
名詞,一般,*,*,*,*,ベンチ,ベンチ,ベンチ	椅子
形容詞,非自立,*,*,形容詞・イ段,連用テ接続,ほしい,ホシク,ホシク	欲しく
名詞,一般,*,*,*,*,アイデア,アイデア,アイデア	考え
名詞,副詞可能,*,*,*,*,当初,トウショ,トーショ	最初
副詞,一般,*,*,*,*,時たま,トキタマ,トキタマ	時々
動詞,自立,*,*,五段・ラ行,連用タ接続,計る,ハカッ,ハカッ	調べ
名詞,一般,*,*,*,*,扉,トビラ,トビラ	ドア
名詞,一般,*,*,*,*,ひとこと,ヒトコト,ヒトコト	何
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,寝つく,ネツイ,ネツイ	寝
動詞,自立,*,*,五段・カ行促音便ユク,未然形,ゆく,ユカ,ユカ	いか
動詞,自立,*,*,五段・カ行イ音便,基本形,省く,ハブク,ハブク	除く
名詞,サ変接続,*,*,*,*,リラックス,リラックス,リラックス	安心
動詞,自立,*,*,五段・カ行イ音便,連用形,磨く,ミガキ,ミガキ	し
名詞,一般,*,*,*,*,機嫌,キゲン,キゲン	気分
名詞,接尾,副詞可能,*,*,*,辺り,アタリ,アタリ	あたり
名詞,一般,*,*,*,*,手がかり,テガカリ,テガカリ	情報
名詞,一般,*,*,*,*,友,トモ,トモ	友達
動詞,自立,*,*,五段・ラ行,基本形,塗る,ヌル,ヌル	作る
形容詞,自立,*,*,形容詞・アウオ段,基本形,ちかい,チカイ,チカイ	近い
動詞,自立,*,*,一段,連用形,崩れ落ちる,クズレオチ,クズレオチ	落ち
動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,いらっしゃる,イラッシャイ,イラッシャイ	来い
名詞,一般,*,*,*,*,慣習,カンシュウ,カンシュー	習慣
動詞,自立,*,*,五段・マ行,連用タ接続,こむ,コン,コン	混ん
名詞,一般,*,*,*,*,騒ぎ,サワギ,サワギ	事件
名詞,数,*,*,*,*,七,ナナ,ナナ	７
名詞,サ変接続,*,*,*,*,点検,テンケン,テンケン	確認
名詞,一般,*,*,*,*,かみさん,カミサン,カミサン	奥さん
名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ	努力
動詞,自立,*,*,一段,連用形,乗せる,ノセ,ノセ	連れ
動詞,自立,*,*,五段・ラ行,基本形,譲る,ユズル,ユズル	任せる
動詞,自立,*,*,五段・ラ行,連用タ接続,譲る,ユズッ,ユズッ	あげ
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,招く,マネイ,マネイ	起こし
副詞,一般,*,*,*,*,一体全体,イッタイゼンタイ,イッタイゼンタイ	いったい全体
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,就く,ツイ,ツイ	つい
動詞,自立,*,*,一段,連用形,覚める,サメ,サメ	起き
動詞,自立,*,*,五段・ラ行,連用タ接続,横切る,ヨコギッ,ヨコギッ	渡っ
名詞,一般,*,*,*,*,宿屋,ヤドヤ,ヤドヤ	ホテル
動詞,自立,*,*,五段・マ行,連用形,つむ,ツミ,ツミ	取り
動詞,自立,*,*,五段・ラ行,未然形,のる,ノラ,ノラ	乗ら
名詞,一般,*,*,*,*,船便,フナビン,フナビン	船
動詞,自立,*,*,一段,基本形,扱える,アツカエル,アツカエル	使える
動詞,自立,*,*,五段・サ行,連用形,取り壊す,トリコワシ,トリコワシ	壊し
動詞,自立,*,*,五段・ラ行,基本形,立ち寄る,タチヨル,タチヨル	行く
動詞,自立,*,*,五段・ラ行,連用形,しゃべる,シャベリ,シャベリ	話し
名詞,サ変接続,*,*,*,*,誤解,ゴカイ,ゴカイ	間違い
名詞,サ変接続,*,*,*,*,支度,シタク,シタク	準備
動詞,自立,*,*,五段・カ行イ音便,連用形,空く,アキ,アキ	読み
名詞,副詞可能,*,*,*,*,始め,ハジメ,ハジメ	最初
感動詞,*,*,*,*,*,あぁ,アァ,アー	ああ
名詞,一般,*,*,*,*,叔父さん,オジサン,オジサン	おじさん
名詞,一般,*,*,*,*,多額,タガク,タガク	多く
動詞,自立,*,*,一段,連用形,ねる,ネ,ネ	寝
副詞,助詞類接続,*,*,*,*,多少,タショウ,タショー	少し
形容詞,非自立,*,*,形容詞・イ段,ガル接続,ほしい,ホシ,ホシ	欲しい
感動詞,*,*,*,*,*,もしもし,モシモシ,モシモシ	すみません
名詞,一般,*,*,*,*,夕飯,ユウハン,ユーハン	夕食
副詞,一般,*,*,*,*,かりに,カリニ,カリニ	もし
名詞,一般,*,*,*,*,児童,ジドウ,ジドー	子供
記号,一般,*,*,*,*,々,々,々	、
名詞,形容動詞語幹,*,*,*,*,名誉,メイヨ,メイヨ	自慢
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,語り合う,カタリアッ,カタリアッ	話し
名詞,サ変接続,*,*,*,*,競技,キョウギ,キョーギ	運動
名詞,一般,*,*,*,*,手初め,テハジメ,テハジメ	最初
名詞,一般,*,*,*,*,いぬ,イヌ,イヌ	犬
名詞,一般,*,*,*,*,ブロック,ブロック,ブロック	地域
名詞,一般,*,*,*,*,教え子,オシエゴ,オシエゴ	学生
名詞,一般,*,*,*,*,多量,タリョウ,タリョー	多く
名詞,一般,*,*,*,*,生き物,イキモノ,イキモノ	生物
名詞,一般,*,*,*,*,つきあい,ツキアイ,ツキアイ	関係
名詞,サ変接続,*,*,*,*,掃除,ソウジ,ソージ	整理
動詞,自立,*,*,一段,基本形,打ち明ける,ウチアケル,ウチアケル	話す
名詞,一般,*,*,*,*,用例,ヨウレイ,ヨーレイ	例
名詞,一般,*,*,*,*,スイッチ,スイッチ,スイッチ	電気
名詞,一般,*,*,*,*,地面,ジメン,ジメン	下
接頭詞,動詞接続,*,*,*,*,御,オ,オ	お
動詞,自立,*,*,五段・ラ行,連用形,がんばる,ガンバリ,ガンバリ	頑張り
動詞,自立,*,*,五段・ワ行促音便,基本形,うたう,ウタウ,ウタウ	歌う
副詞,助詞類接続,*,*,*,*,ぐずぐず,グズグズ,グズグズ	ゆっくり
動詞,自立,*,*,一段,連用形,ひっかける,ヒッカケ,ヒッカケ	かけ
動詞,自立,*,*,一段,連用形,溶ける,トケ,トケ	なくなっ
動詞,自立,*,*,五段・ラ行,連用タ接続,刈る,カッ,カッ	切っ
名詞,一般,*,*,*,*,小遣い,コヅカイ,コズカイ	お金
動詞,自立,*,*,一段,未然形,通える,カヨエ,カヨエ	行か
名詞,接尾,助数詞,*,*,*,ダース,ダース,ダース	セット
名詞,一般,*,*,*,*,片方,カタホウ,カタホー	一方
動詞,自立,*,*,五段・ラ行,連用形,きる,キリ,キリ	切り
動詞,自立,*,*,五段・ラ行,未然形,叱る,シカラ,シカラ	怒ら
動詞,自立,*,*,五段・ワ行促音便,連用形,取り扱う,トリアツカイ,トリアツカイ	やり
名詞,一般,*,*,*,*,正夢,マサユメ,マサユメ	現実
動詞,自立,*,*,一段,連用形,まかせる,マカセ,マカセ	任せ
動詞,自立,*,*,五段・マ行,連用形,済む,スミ,スミ	終わり
動詞,自立,*,*,一段,基本形,きこえる,キコエル,キコエル	聞こえる
名詞,一般,*,*,*,*,年金,ネンキン,ネンキン	金
名詞,サ変接続,*,*,*,*,アナウンス,アナウンス,アナウンス	放送
名詞,一般,*,*,*,*,趣旨,シュシ,シュシ	意味
動詞,自立,*,*,五段・マ行,連用形,微笑む,ホホエミ,ホホエミ	笑い
名詞,一般,*,*,*,*,奴,ヤッコ,ヤッコ	人
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,愛し合う,アイシアッ,アイシアッ	愛し
動詞,自立,*,*,五段・カ行イ音便,連用形,とっつく,トッツキ,トッツキ	話し
名詞,サ変接続,*,*,*,*,調理,チョウリ,チョーリ	料理
動詞,自立,*,*,五段・ラ行,基本形,交わる,マジワル,マジワル	かかわる
副詞,一般,*,*,*,*,だいぶ,ダイブ,ダイブ	かなり
名詞,一般,*,*,*,*,じいさん,ジイサン,ジーサン	おじさん
動詞,自立,*,*,一段,未然形,とめる,トメ,トメ	止め
名詞,サ変接続,*,*,*,*,釈明,シャクメイ,シャクメイ	説明
名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ	記憶
動詞,自立,*,*,一段,連用形,存じる,ゾンジ,ゾンジ	知っ
名詞,一般,*,*,*,*,乗客,ジョウキャク,ジョーキャク	人
名詞,一般,*,*,*,*,植木,ウエキ,ウエキ	植物
動詞,自立,*,*,五段・カ行イ音便,基本形,砕く,クダク,クダク	壊す
名詞,サ変接続,*,*,*,*,可決,カケツ,カケツ	賛成
動詞,自立,*,*,五段・サ行,連用形,たす,タシ,タシ	入れ
名詞,一般,*,*,*,*,氏名,シメイ,シメイ	名前
名詞,一般,*,*,*,*,証拠,ショウコ,ショーコ	事実
名詞,サ変接続,*,*,*,*,自立,ジリツ,ジリツ	独立
動詞,自立,*,*,五段・ラ行,未然形,立ち上がる,タチアガラ,タチアガラ	つか
動詞,自立,*,*,五段・サ行,連用形,よこす,ヨコシ,ヨコシ	し
動詞,自立,*,*,一段,基本形,あきらめる,アキラメル,アキラメル	やめる
動詞,自立,*,*,一段,未然形,はける,ハケ,ハケ	合わ
動詞,自立,*,*,一段,基本形,産まれる,ウマレル,ウマレル	生まれる
動詞,自立,*,*,五段・カ行イ音便,連用形,聴く,キキ,キキ	聞き
動詞,自立,*,*,一段,基本形,とめる,トメル,トメル	止める
名詞,一般,*,*,*,*,月並み,ツキナミ,ツキナミ	普通
動詞,自立,*,*,一段,未然形,負える,オエ,オエ	分から
動詞,自立,*,*,一段,未然形,見分ける,ミワケ,ミワケ	見つけ
名詞,一般,*,*,*,*,秩序,チツジョ,チツジョ	安全
名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ	あなた
名詞,一般,*,*,*,*,カーネーション,カーネーション,カーネーション	花
動詞,自立,*,*,五段・ラ行,連用タ接続,握る,ニギッ,ニギッ	捕まえ
名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ	好き
名詞,一般,*,*,*,*,小包,コヅツミ,コズツミ	荷物
動詞,自立,*,*,五段・マ行,連用タ接続,のむ,ノン,ノン	飲ん
動詞,自立,*,*,一段,連用形,おくれる,オクレ,オクレ	遅れ
名詞,サ変接続,*,*,*,*,説得,セットク,セットク	説明
形容詞,自立,*,*,形容詞・イ段,連用タ接続,とげとげしい,トゲトゲシカッ,トゲトゲシカッ	ひどかっ
名詞,形容動詞語幹,*,*,*,*,憂鬱,ユウウツ,ユーウツ	嫌
動詞,自立,*,*,一段,連用形,くらべる,クラベ,クラベ	比べ
名詞,一般,*,*,*,*,がん,ガン,ガン	ガン
形容詞,自立,*,*,形容詞・イ段,基本形,はげしい,ハゲシイ,ハゲシイ	厳しい
名詞,形容動詞語幹,*,*,*,*,平ら,タイラ,タイラ	安全
動詞,自立,*,*,五段・ワ行促音便,基本形,ゆう,ユウ,ユウ	言う
名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ	中
名詞,サ変接続,*,*,*,*,お礼,オレイ,オレイ	感謝
形容詞,自立,*,*,形容詞・イ段,基本形,乏しい,トボシイ,トボシイ	ない
名詞,一般,*,*,*,*,合衆国,ガッシュウコク,ガッシューコク	アメリカ
名詞,一般,*,*,*,*,間,マ,マ	時間
名詞,サ変接続,*,*,*,*,呼吸,コキュウ,コキュー	息
動詞,自立,*,*,五段・カ行イ音便,未然形,気付く,キヅカ,キズカ	気がつか
動詞,自立,*,*,五段・ラ行,連用タ接続,寄る,ヨッ,ヨッ	行っ
名詞,サ変接続,*,*,*,*,決断,ケツダン,ケツダン	判断
